TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
Ultrabook,13.3,11.0,13,8,macOS,1.37,1339.69,0,0,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ultrabook,13.3,2.0,13,8,macOS,1.34,898.94,0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Notebook,15.6,4.0,13,8,No OS,1.86,575.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ultrabook,15.4,12.0,14,16,macOS,1.83,2537.45,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ultrabook,13.3,11.0,13,8,macOS,1.37,1803.6,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Notebook,15.6,1.0,5,4,Windows 10,2.1,400.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,15.4,12.0,14,16,Mac OS X,2.04,2139.97,0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Ultrabook,13.3,2.0,13,8,macOS,1.34,1158.7,0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ultrabook,14.0,4.0,14,16,Windows 10,1.3,1495.0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,13,8,Windows 10,1.6,770.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,13,4,No OS,1.86,393.9,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Notebook,15.6,4.0,12,4,No OS,1.86,344.99,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ultrabook,15.4,12.0,14,16,macOS,1.83,2439.97,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Notebook,15.6,4.0,12,4,Windows 10,2.2,498.9,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,12.0,7.0,11,8,macOS,0.92,1262.4,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ultrabook,13.3,11.0,13,8,macOS,1.37,1518.55,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
